Country,Energy_type,Year,Energy_consumption,Energy_production,GDP,Population,Energy_intensity_per_capita,Energy_intensity_by_GDP,CO2_emission,Energy_efficiency,Energy_ratio,CO2_per_capita
United States,renewables_n_other,1983,6.495612333,6.495612334,7456.38,233731.0,311.96287304208687,9.778926808853626,0.0,1.00000000015395,1.00000000015395,0.0
United States,all_energy_types,1984,76.5706968,68.799586137,7995.96,235784.8,324.7482314381589,9.576173067399036,4383.942232,0.8985106445707571,0.8985106445707571,0.01859298068408142
United States,coal,1984,17.070621985,19.719216081,7995.96,235784.8,324.7482314381589,9.576173067399036,1504.795517,1.1551551020418194,1.1551551020418194,0.006382071774770893
United States,natural_gas,1984,18.393612515,18.007932632,7995.96,235784.8,324.7482314381589,9.576173067399036,901.093998,0.9790318577883774,0.9790318577883774,0.0038216797605273964
United States,petroleum_n_other_liquids,1984,31.035536117,21.082043165,7995.96,235784.8,324.7482314381589,9.576173067399036,1978.052717,0.6792872237013531,0.6792872237013531,0.008389229148783128
United States,nuclear,1984,3.552530566,3.552530566,7995.96,235784.8,324.7482314381589,9.576173067399036,0.0,1.0,1.0,0.0
United States,renewables_n_other,1984,6.437863691,6.437863693,7995.96,235784.8,324.7482314381589,9.576173067399036,0.0,1.000000000310662,1.000000000310662,0.0
United States,all_energy_types,1985,76.334134502,67.661300206,8329.37,237880.8,320.892373415593,9.16445475492144,4612.856171,0.886383275940952,0.886383275940952,0.019391460643313797
United States,coal,1985,17.478427648,19.325165618,8329.37,237880.8,320.892373415593,9.16445475492144,1616.102516,1.1056581293919374,1.1056581293919374,0.006793749289560149
United States,natural_gas,1985,17.703482185,16.980380424,8329.37,237880.8,320.892373415593,9.16445475492144,962.252107,0.9591548287820644,0.9591548287820644,0.004045102030092383
United States,petroleum_n_other_liquids,1985,30.918849461,21.196174616,8329.37,237880.8,320.892373415593,9.16445475492144,2034.501548,0.6855421526191052,0.6855421526191052,0.008552609323661262
United States,nuclear,1985,4.0755629,4.0755629,8329.37,237880.8,320.892373415593,9.16445475492144,0.0,1.0,1.0,0.0
United States,renewables_n_other,1985,6.084016647,6.084016648,8329.37,237880.8,320.892373415593,9.16445475492144,0.0,1.0000000001643652,1.0000000001643652,0.0
